REQUESTS
NUMBER
 200

VEHICLES
NUMBER    CAPACITY
  41         50

REQUEST     SUPPLIER                  CUSTOMER
   ID       coord_X      coord_Y      coord_X      coord_Y      demand
    0           100          100            -            -          CD
    1            84           81          121           46           7
    2            59           83          127           39          13
    3            84          188          124          191          11
    4            46           22          135          171          13
    5            25          165          191          124          19
    6            76           93          137           10          20
    7            28          127          199          123           5
    8            97            9          173           42           7
    9            37          146          138           72           5
   10            70           37          176          134           2
   11            68          156          186          149           1
   12            46            5          107          133           8
   13            48           94          180           66           4
   14             3          101          193          127           8
   15            64          156          151          179           2
   16            94           31          148          157          20
   17            42          148          110          110           1
   18            12          131          130          149          14
   19            56           19          110          184           7
   20            29          121          139           97          10
   21            56          148          125           53          17
   22            63           44          171           69          15
   23            42          165          146          166          19
   24            36          104          123           59          14
   25            62          152          113          105          20
   26            62           15          105           26          20
   27            32           47          197           29           2
   28            53           79          100           53          19
   29            60           71          123           90          18
   30             1          149          111          189          11
   31            86          110          154           29          18
   32            59           24          103           25           8
   33            41          186          116            4           6
   34            31           63          177          134           9
   35             7          108          188           70          20
   36             1           54          153           19          19
   37            62           38          152          190          11
   38            23          168          137           41           3
   39            98           89          125           78           2
   40            30           67          154          184           7
   41            55           51          130           55          19
   42            69          133          161          158          18
   43            78          118          125           34           2
   44            97          129          118          117           8
   45            83           81          116          118           3
   46            70          130          104          176          18
   47            19           38          168          146           1
   48            35            9          139          158           6
   49            64          123          110            8          12
   50            62          138          121           50          11
   51            27           97          200          162          15
   52            57          118          103           97          17
   53            67          138          122           13           5
   54            44           10          193           12           9
   55            99           45          165          181          11
   56            10           20          198           97          11
   57            69           64          174          185          19
   58            86           69          104            5           1
   59            63          151          108          148           2
   60             8            8          141          132          17
   61            17          166          109          197          19
   62            68          191          104           88           7
   63            26           45          165          156          16
   64            39          186          182          110           4
   65            19           51          135          110           6
   66            56           90          150           26          20
   67            87           30          127           60          16
   68            39          151          189           83          20
   69            18           59          172          186           2
   70             5          162          172           55          14
   71            45           55          188          194          15
   72            75          173          152           68           5
   73            55           87          125           49           7
   74            84          180          111           98          16
   75            28          187          142           60          10
   76            75          134          127          143          16
   77            40          115          131          136          10
   78            39          112          149           78           2
   79             7          119          113          158          16
   80            16          141          182           89          17
   81            48          106          112           42           2
   82            32           23          115           75           8
   83            65           77          103           77           9
   84            20           59          178           61           3
   85            74          163          158           81           1
   86             6          193          126          199           3
   87            63          116          172          179          11
   88            54           37          172           66           1
   89            66           98          135           45          18
   90            67           70          141          146           7
   91            73           81          191          138           4
   92            28           15          143          103          15
   93            23          176          114          112          12
   94             6          120          182            9          13
   95            24          131          184          140           4
   96            75          170          154            7          11
   97            59          139          122           58          17
   98            28          160          156           93           8
   99            23           74          148          196          18
  100            63          192          122           38           4
  101            85          193          114           72           2
  102            30          183          155          107          14
  103            53          180          146            3          20
  104            41           16          142           27           1
  105            63          141          101          127          10
  106            13          139          138           31          12
  107            98           77          136          111           9
  108            90          174          115           50          12
  109            18           35          159          187           8
  110            15          197          126          100           7
  111            37          177          113           14           1
  112            25           48          112            6          19
  113            69          150          138           61           3
  114            40           95          176          132          18
  115            46           40          184          101          14
  116            24          197          159          129          18
  117            86          150          134          157          14
  118            47          118          108          187          19
  119            95           50          152          122           9
  120            26           41          136           90          20
  121            78          169          155           22           3
  122            89          153          175           60           4
  123            42          174          136           12           4
  124            82           48          178          127           4
  125            78           72          181           70           1
  126            83          180          159          105           8
  127            74           55          138           69          13
  128            60          153          121           48           5
  129            20          113          198           16           1
  130            68           40          157          196           1
  131            11          118          119          113          17
  132            88           15          143          116           8
  133            63          149          197            7           7
  134             5          130          181           39          20
  135            51          162          149          103          11
  136            42          144          181          156          13
  137            76          102          107           96           6
  138             5          122          162          162           8
  139            94          119          118           45           3
  140            88          152          174          194          20
  141            70           28          114          153          15
  142            22           61          108          141           1
  143            98          193          125          180           1
  144            57          157          144           92          19
  145            50           31          157          142          12
  146            71          114          164           37          12
  147            78          136          137           59          14
  148            26          197          179           95          17
  149            66          196          178           88           5
  150            85           85          171           36           7
  151            67          127          154           59           1
  152            74           67          106           41          12
  153            12           15          124          165           8
  154            90            4          186            8          13
  155             9          122          168           58          12
  156            49           99          176           58          17
  157            60          184          151          132           5
  158            46          131          161            3          10
  159            42           72          112           78           2
  160            89           39          195          132           3
  161            23          123          183          170          17
  162            32          166          168          119           8
  163            20           72          148           38          17
  164            65           42          151          180           7
  165            28           77          145           19          18
  166            34          145          120           39          18
  167            51          112          137          158          18
  168            35          160          179          151           1
  169            45          142          179            5          20
  170            81          183          145           71           1
  171            71          145          129          176           2
  172            50          135          109           45           4
  173            10           60          131           92           7
  174            12          113          113          151          18
  175            41           73          184          110           1
  176            17           32          104          142           8
  177            66            3          158          132          13
  178            88          143          151           66           3
  179             8           89          116           52           1
  180            55          100          155           17          18
  181            97          192          143          179           1
  182            80          190          114          183          12
  183            83          112          101           29          17
  184            68          115          100          144          18
  185            89          176          113          100           4
  186            58           19          186           65           4
  187            77          119          114          122           5
  188            45           95          112          174           2
  189            41           43          149          176          15
  190            38          101          158           20          17
  191            80          167          109           85          13
  192            38          183          109           48           9
  193            32          190          196          126          20
  194            31           79          144           59          16
  195            49           71          159          196           9
  196            85          164          111          129          10
  197            40          130          118          139          10
  198            53          175          173          147           8
  199            71          131          172          161           1
  200            92          178          147          193          16

LOAD-UNLOAD
PREPARATION_TIME     TIME_PER_PALLET     BETWEEN_CONSECUTIVE_DOCKS_TIME
       5                    1                         1

