REQUESTS
NUMBER
  25

VEHICLES
NUMBER    CAPACITY
   6         50

REQUEST     SUPPLIER                  CUSTOMER
   ID       coord_X      coord_Y      coord_X      coord_Y      demand
    0           100          100            -            -          CD
    1            53           79          100           53          19
    2            94          119          118           45          13
    3             5          130          181           39           3
    4            78          169          155           22          12
    5            46            5          107          133           1
    6            51          162          149          103          15
    7            63          192          122           38          17
    8            97            9          173           42          20
    9            57          157          144           92          14
   10            25          165          191          124           8
   11             6          120          182            9          18
   12            98          193          125          180           1
   13            17           32          104          142          18
   14            18           35          159          187          20
   15            17          166          109          197          13
   16            74          163          158           81          14
   17            23           74          148          196           7
   18            23          123          183          170          11
   19            30          183          155          107           5
   20            84           81          121           46           8
   21            41           73          184          110          14
   22            28          160          156           93           8
   23            18           59          172          186          19
   24            55           87          125           49          18
   25            42          144          181          156           1

LOAD-UNLOAD
PREPARATION_TIME     TIME_PER_PALLET     BETWEEN_CONSECUTIVE_DOCKS_TIME
       5                    1                         1

