REQUESTS
NUMBER
  50

VEHICLES
NUMBER    CAPACITY
  10         50

REQUEST     SUPPLIER                  CUSTOMER
   ID       coord_X      coord_Y      coord_X      coord_Y      demand
    0           100          100            -            -          CD
    1            75          173          152           68           5
    2             9          122          168           58          12
    3            51          112          137          158          18
    4            56           19          110          184           7
    5            41           16          142           27           1
    6             8           89          116           52           1
    7             3          101          193          127           8
    8            19           38          168          146           1
    9            63          192          122           38           4
   10            67          127          154           59           1
   11            20           59          178           61           3
   12            73           81          191          138           4
   13            92          178          147          193          16
   14            28          187          142           60          10
   15            13          139          138           31          12
   16            77          119          114          122           5
   17            22           61          108          141           1
   18            30          183          155          107          14
   19            63           44          171           69          15
   20            67          138          122           13           5
   21            60          184          151          132           5
   22            70          130          104          176          18
   23             5          130          181           39          20
   24            53           79          100           53          19
   25            55           87          125           49           7
   26            32           47          197           29           2
   27            24          131          184          140           4
   28            55          100          155           17          18
   29            41           43          149          176          15
   30            47          118          108          187          19
   31            71          145          129          176           2
   32            85          193          114           72           2
   33            42          144          181          156          13
   34            66            3          158          132          13
   35            39          151          189           83          20
   36            86          110          154           29          18
   37            32          166          168          119           8
   38            80          167          109           85          13
   39            88          152          174          194          20
   40            23          168          137           41           3
   41            12           15          124          165           8
   42            62          138          121           50          11
   43            10           60          131           92           7
   44            99           45          165          181          11
   45            40          115          131          136          10
   46            74           67          106           41          12
   47            40           95          176          132          18
   48            28          160          156           93           8
   49            64          156          151          179           2
   50            84          180          111           98          16

LOAD-UNLOAD
PREPARATION_TIME     TIME_PER_PALLET     BETWEEN_CONSECUTIVE_DOCKS_TIME
       5                    1                         1

