REQUESTS
NUMBER
 150

VEHICLES
NUMBER    CAPACITY
  30         50

REQUEST     SUPPLIER                  CUSTOMER
   ID       coord_X      coord_Y      coord_X      coord_Y      demand
    0           100          100            -            -          CD
    1            46          131          161            3          10
    2            12           15          124          165           8
    3            32          166          168          119           8
    4            75          134          127          143          16
    5            49           71          159          196           9
    6            60          153          121           48           5
    7            63          141          101          127          10
    8            85          193          114           72           2
    9            63          192          122           38           4
   10            89          153          175           60           4
   11            40           95          176          132          18
   12            83           81          116          118           3
   13            80          167          109           85          13
   14            17           32          104          142           8
   15            86          150          134          157          14
   16            22           61          108          141           1
   17            89          176          113          100           4
   18             3          101          193          127           8
   19            98           77          136          111           9
   20            78          118          125           34           2
   21            13          139          138           31          12
   22            81          183          145           71           1
   23            41           73          184          110           1
   24             5          162          172           55          14
   25            67          127          154           59           1
   26            10           20          198           97          11
   27            69          150          138           61           3
   28            69           64          174          185          19
   29            77          119          114          122           5
   30            41           16          142           27           1
   31            98          193          125          180           1
   32            20           59          178           61           3
   33            76           93          137           10          20
   34            20          113          198           16           1
   35            78          169          155           22           3
   36            59           83          127           39          13
   37            53           79          100           53          19
   38            19           51          135          110           6
   39            36          104          123           59          14
   40            54           37          172           66           1
   41            68          156          186          149           1
   42            63          116          172          179          11
   43            37          177          113           14           1
   44             5          122          162          162           8
   45            70          130          104          176          18
   46            86          110          154           29          18
   47            56          148          125           53          17
   48            65           77          103           77           9
   49            30          183          155          107          14
   50            62           15          105           26          20
   51            17          166          109          197          19
   52            25           48          112            6          19
   53            66            3          158          132          13
   54            62           38          152          190          11
   55            78           72          181           70           1
   56            18           59          172          186           2
   57            12          131          130          149          14
   58            57          157          144           92          19
   59            40          130          118          139          10
   60            64          123          110            8          12
   61            24          131          184          140           4
   62            32          190          196          126          20
   63            35          160          179          151           1
   64            88          143          151           66           3
   65            60           71          123           90          18
   66            94          119          118           45           3
   67            42           72          112           78           2
   68            53          175          173          147           8
   69            42          165          146          166          19
   70            68           40          157          196           1
   71             8            8          141          132          17
   72            68          191          104           88           7
   73            10           60          131           92           7
   74            88          152          174          194          20
   75            71          145          129          176           2
   76            59           24          103           25           8
   77            45           95          112          174           2
   78            27           97          200          162          15
   79            55           87          125           49           7
   80             1          149          111          189          11
   81            11          118          119          113          17
   82            84           81          121           46           7
   83            46           22          135          171          13
   84            66           98          135           45          18
   85            57          118          103           97          17
   86            18           35          159          187           8
   87            38          101          158           20          17
   88            85           85          171           36           7
   89            41           43          149          176          15
   90            62          138          121           50          11
   91             1           54          153           19          19
   92            32           47          197           29           2
   93            28          127          199          123           5
   94            90            4          186            8          13
   95            88           15          143          116           8
   96            69          133          161          158          18
   97            60          184          151          132           5
   98            23          123          183          170          17
   99            35            9          139          158           6
  100            45           55          188          194          15
  101            80          190          114          183          12
  102             9          122          168           58          12
  103            82           48          178          127           4
  104            45          142          179            5          20
  105             6          193          126          199           3
  106            51          112          137          158          18
  107            89           39          195          132           3
  108            47          118          108          187          19
  109            42          144          181          156          13
  110            75          173          152           68           5
  111            51          162          149          103          11
  112            85          164          111          129          10
  113            42          174          136           12           4
  114            26           41          136           90          20
  115            23          176          114          112          12
  116            55          100          155           17          18
  117            28          187          142           60          10
  118            15          197          126          100           7
  119            29          121          139           97          10
  120            84          188          124          191          11
  121            98           89          125           78           2
  122            75          170          154            7          11
  123            19           38          168          146           1
  124            55           51          130           55          19
  125             7          119          113          158          16
  126            83          180          159          105           8
  127             6          120          182            9          13
  128            16          141          182           89          17
  129            41          186          116            4           6
  130            39          186          182          110           4
  131            92          178          147          193          16
  132            66          196          178           88           5
  133            63           44          171           69          15
  134            49           99          176           58          17
  135            97          192          143          179           1
  136            74           67          106           41          12
  137            23          168          137           41           3
  138            71          131          172          161           1
  139            26          197          179           95          17
  140             7          108          188           70          20
  141            63          151          108          148           2
  142            34          145          120           39          18
  143            26           45          165          156          16
  144            31           63          177          134           9
  145            25          165          191          124          19
  146            74           55          138           69          13
  147             8           89          116           52           1
  148            28          160          156           93           8
  149            48           94          180           66           4
  150            40          115          131          136          10

LOAD-UNLOAD
PREPARATION_TIME     TIME_PER_PALLET     BETWEEN_CONSECUTIVE_DOCKS_TIME
       5                    1                         1

