REQUESTS
NUMBER
  75

VEHICLES
NUMBER    CAPACITY
  17         50

REQUEST     SUPPLIER                  CUSTOMER
   ID       coord_X      coord_Y      coord_X      coord_Y      demand
    0           100          100            -            -          CD
    1            18           59          172          186          13
    2            97            9          173           42          10
    3            88           15          143          116          17
    4            86          110          154           29           2
    5            38          183          109           48           2
    6            35          160          179          151           7
    7            62          138          121           50          12
    8            22           61          108          141           9
    9            50           31          157          142           3
   10            16          141          182           89           1
   11            75          134          127          143           3
   12            49           71          159          196           7
   13            46           40          184          101          16
   14            39          186          182          110           7
   15            88          152          174          194          18
   16             8            8          141          132          15
   17            57          118          103           97          20
   18            41          186          116            4           2
   19            64          123          110            8          13
   20            59           83          127           39          19
   21            56           90          150           26          15
   22            76           93          137           10           3
   23            63          116          172          179          12
   24            45           55          188          194           6
   25            62          152          113          105          10
   26            12          131          130          149          11
   27             5          130          181           39           6
   28            12          113          113          151          17
   29            39          112          149           78           6
   30            32          190          196          126           9
   31             9          122          168           58           7
   32            65           77          103           77          18
   33            51          112          137          158          15
   34            54           37          172           66          18
   35            98           89          125           78          19
   36            80          167          109           85          15
   37            26           45          165          156          14
   38            89           39          195          132           1
   39             6          193          126          199          19
   40            63           44          171           69          16
   41            17          166          109          197           1
   42            41           73          184          110          12
   43            48          106          112           42           2
   44            75          170          154            7          12
   45            27           97          200          162          11
   46            59           24          103           25           7
   47            88          143          151           66          18
   48            32           47          197           29           8
   49            78          118          125           34           8
   50            26          197          179           95          20
   51            49           99          176           58           4
   52            15          197          126          100           4
   53            51          162          149          103          14
   54            12           15          124          165          20
   55            40           95          176          132          14
   56            38          101          158           20          15
   57            11          118          119          113          18
   58            23          168          137           41          17
   59            78          136          137           59          15
   60            10           20          198           97           7
   61            67          138          122           13          14
   62            74          163          158           81          10
   63            71          131          172          161           1
   64            64          156          151          179          16
   65            58           19          186           65           2
   66            23          176          114          112           8
   67            90          174          115           50           1
   68            69           64          174          185           5
   69            63          151          108          148          18
   70            32          166          168          119           3
   71            28          160          156           93          10
   72            35            9          139          158          20
   73            18           35          159          187           8
   74            80          190          114          183          20
   75            94          119          118           45          11

LOAD-UNLOAD
PREPARATION_TIME     TIME_PER_PALLET     BETWEEN_CONSECUTIVE_DOCKS_TIME
       5                    1                         1

