REQUESTS
NUMBER
  40

VEHICLES
NUMBER    CAPACITY
  11         50

REQUEST     SUPPLIER                  CUSTOMER
   ID       coord_X      coord_Y      coord_X      coord_Y      demand
    0           100          100            -            -          CD
    1            98          193          125          180          14
    2            99           45          165          181           6
    3            84           81          121           46           9
    4            66          196          178           88          18
    5            56           19          110          184           6
    6            78          136          137           59          15
    7            60          153          121           48          18
    8            65           42          151          180          17
    9            40          115          131          136          12
   10             9          122          168           58           7
   11            97            9          173           42          10
   12            37          177          113           14          12
   13            23           74          148          196          20
   14            50           31          157          142           3
   15            73           81          191          138          13
   16            49           99          176           58           4
   17            78           72          181           70          16
   18            89           39          195          132           1
   19            59           83          127           39          19
   20            84          180          111           98          17
   21            32          190          196          126           9
   22            75          170          154            7          12
   23            28          127          199          123          14
   24            65           77          103           77          18
   25            85          164          111          129          17
   26            12          113          113          151          17
   27            74          163          158           81          10
   28            12           15          124          165          20
   29             7          108          188           70          13
   30            85           85          171           36          14
   31            88          152          174          194          18
   32            71          114          164           37          20
   33            83           81          116          118          17
   34            90            4          186            8          20
   35            10           60          131           92          15
   36            57          118          103           97          20
   37            41           16          142           27          18
   38            35          160          179          151           7
   39            55           51          130           55           4
   40            86           69          104            5          17

LOAD-UNLOAD
PREPARATION_TIME     TIME_PER_PALLET     BETWEEN_CONSECUTIVE_DOCKS_TIME
       5                    1                         1

