REQUESTS
NUMBER
 200

VEHICLES
NUMBER    CAPACITY
  45         50

REQUEST     SUPPLIER                  CUSTOMER
   ID       coord_X      coord_Y      coord_X      coord_Y      demand
    0           100          100            -            -          CD
    1            86          110          154           29           2
    2            99           45          165          181           6
    3            88          152          174          194          18
    4            59           24          103           25           7
    5            62          152          113          105          10
    6            39          186          182          110           7
    7            68          115          100          144           5
    8            97            9          173           42          10
    9            31           79          144           59          15
   10            23          176          114          112           8
   11            37          146          138           72          19
   12            32          166          168          119           3
   13            63          192          122           38           1
   14            45           95          112          174          16
   15            28           15          143          103          13
   16            35            9          139          158          20
   17            75          170          154            7          12
   18            40          115          131          136          12
   19            57          118          103           97          20
   20            68           40          157          196          15
   21            86          150          134          157          12
   22            41           73          184          110          12
   23            24          131          184          140           6
   24            49           99          176           58           4
   25            84          188          124          191          12
   26             7          119          113          158           2
   27            38          183          109           48           2
   28            84           81          121           46           9
   29            65           77          103           77          18
   30            76          102          107           96          14
   31            66            3          158          132          14
   32            94          119          118           45          11
   33             1           54          153           19          20
   34            55           51          130           55           4
   35            46          131          161            3           8
   36            23           74          148          196          20
   37             3          101          193          127           4
   38            60           71          123           90           9
   39            32           47          197           29           8
   40            12          113          113          151          17
   41            97          129          118          117          18
   42            74           55          138           69           5
   43            37          177          113           14          12
   44            67           70          141          146           6
   45            41           43          149          176           7
   46            88          143          151           66          18
   47            67          138          122           13          14
   48            63          141          101          127          16
   49            19           38          168          146          14
   50            44           10          193           12          13
   51            78          118          125           34           8
   52            60          184          151          132          19
   53            63           44          171           69          16
   54            26           45          165          156          14
   55            11          118          119          113          18
   56            39          151          189           83          19
   57            47          118          108          187           3
   58            55           87          125           49           7
   59            40           95          176          132          14
   60            24          197          159          129           3
   61            12           15          124          165          20
   62            74           67          106           41          11
   63            28          187          142           60           5
   64            71          131          172          161           1
   65            67          127          154           59          16
   66            41           16          142           27          18
   67            80          190          114          183          20
   68            10           60          131           92          15
   69            69          150          138           61          10
   70            49           71          159          196           7
   71            30           67          154          184           8
   72            83           81          116          118          17
   73            56           90          150           26          15
   74            65           42          151          180          17
   75            98          193          125          180          14
   76            42          144          181          156          12
   77            35          160          179          151           7
   78            53          175          173          147          16
   79            45          142          179            5          11
   80            41          186          116            4           2
   81            98           77          136          111           4
   82            60          153          121           48          18
   83            48          106          112           42           2
   84            42          165          146          166          15
   85            42          148          110          110          18
   86            48           94          180           66          15
   87            81          183          145           71           2
   88            70          130          104          176          11
   89            17           32          104          142           2
   90             5          122          162          162           1
   91            85          164          111          129          17
   92            51          162          149          103          14
   93            46           40          184          101          16
   94            56           19          110          184           6
   95            36          104          123           59           5
   96             5          130          181           39           6
   97            15          197          126          100           4
   98            53          180          146            3           3
   99             9          122          168           58           7
  100            13          139          138           31          18
  101            18           59          172          186          13
  102            19           51          135          110          13
  103            92          178          147          193          20
  104            66           98          135           45           2
  105            51          112          137          158          15
  106            85           85          171           36          14
  107            78          169          155           22          20
  108             8            8          141          132          15
  109            25          165          191          124          19
  110            80          167          109           85          15
  111            74          163          158           81          10
  112            32          190          196          126           9
  113            63          151          108          148          18
  114             8           89          116           52          10
  115            69          133          161          158           1
  116            68          191          104           88          20
  117            23          123          183          170          15
  118            38          101          158           20          15
  119             1          149          111          189           8
  120             5          162          172           55          15
  121            39          112          149           78           6
  122            71          145          129          176           3
  123            78           72          181           70          16
  124            83          112          101           29          20
  125            28          127          199          123          14
  126            90            4          186            8          20
  127            42          174          136           12           3
  128            62           38          152          190          10
  129            20           72          148           38           5
  130            85          193          114           72          12
  131            26           41          136           90           8
  132            32           23          115           75           9
  133            75          173          152           68          18
  134             6          120          182            9          16
  135            98           89          125           78          19
  136            16          141          182           89           1
  137            45           55          188          194           6
  138            30          183          155          107          19
  139            70           28          114          153           4
  140            25           48          112            6           9
  141            86           69          104            5          17
  142            73           81          191          138          13
  143            89          176          113          100          11
  144            17          166          109          197           1
  145            53           79          100           53          19
  146            75          134          127          143           3
  147            31           63          177          134          20
  148            18           35          159          187           8
  149            88           15          143          116          17
  150            46           22          135          171          19
  151            40          130          118          139          10
  152            64          123          110            8          13
  153            46            5          107          133           3
  154            27           97          200          162          11
  155            28           77          145           19           3
  156            89          153          175           60          17
  157            87           30          127           60           6
  158            95           50          152          122           6
  159            69           64          174          185           5
  160             6          193          126          199          19
  161            71          114          164           37          20
  162            97          192          143          179           5
  163            78          136          137           59          15
  164            94           31          148          157           7
  165            56          148          125           53          19
  166            76           93          137           10           3
  167            28          160          156           93          10
  168            63          149          197            7           8
  169            82           48          178          127           6
  170            23          168          137           41          17
  171            63          116          172          179          12
  172            34          145          120           39           3
  173            12          131          130          149          11
  174            59           83          127           39          19
  175            83          180          159          105           5
  176             7          108          188           70          13
  177            70           37          176          134          18
  178            64          156          151          179          16
  179            90          174          115           50           1
  180            59          139          122           58          16
  181            62           15          105           26          14
  182            50          135          109           45          16
  183            77          119          114          122           3
  184            20          113          198           16          13
  185            10           20          198           97           7
  186            68          156          186          149           5
  187            66          196          178           88          18
  188            50           31          157          142           3
  189            84          180          111           98          17
  190            58           19          186           65           2
  191            26          197          179           95          20
  192            22           61          108          141           9
  193            89           39          195          132           1
  194            20           59          178           61          19
  195            55          100          155           17           3
  196            42           72          112           78           3
  197            54           37          172           66          18
  198            57          157          144           92          10
  199            62          138          121           50          12
  200            29          121          139           97          17

LOAD-UNLOAD
PREPARATION_TIME     TIME_PER_PALLET     BETWEEN_CONSECUTIVE_DOCKS_TIME
       5                    1                         1

