REQUESTS
NUMBER
  50

VEHICLES
NUMBER    CAPACITY
  11         50

REQUEST     SUPPLIER                  CUSTOMER
   ID       coord_X      coord_Y      coord_X      coord_Y      demand
    0           100          100            -            -          CD
    1            23          176          114          112          11
    2            95           50          152          122           2
    3            74           67          106           41          10
    4            56           90          150           26           2
    5            63          116          172          179           5
    6            45           95          112          174          10
    7            64          123          110            8          17
    8            63           44          171           69          13
    9            89          176          113          100          17
   10            55           51          130           55           2
   11            90            4          186            8           1
   12            23          123          183          170          12
   13            40           95          176          132          20
   14            26          197          179           95          11
   15            59          139          122           58          15
   16             8           89          116           52           1
   17            42           72          112           78           7
   18            62           15          105           26          17
   19            94          119          118           45          19
   20            56          148          125           53           1
   21            20           59          178           61           7
   22            55           87          125           49          20
   23            77          119          114          122           7
   24            41           16          142           27          15
   25            84           81          121           46           7
   26            38          101          158           20          10
   27            20           72          148           38          20
   28            46           22          135          171           8
   29            62           38          152          190          18
   30            30           67          154          184          12
   31            85          164          111          129          19
   32            53           79          100           53          10
   33            28           77          145           19          10
   34            69           64          174          185          11
   35            58           19          186           65          15
   36            88          143          151           66           3
   37            59           24          103           25           7
   38            78           72          181           70          14
   39            18           59          172          186           6
   40            60          184          151          132          11
   41            66            3          158          132           4
   42            99           45          165          181          14
   43            63          151          108          148           6
   44            22           61          108          141           2
   45             5          122          162          162          16
   46            25           48          112            6          17
   47            66          196          178           88           4
   48             1           54          153           19          14
   49            19           51          135          110          11
   50            69          133          161          158          16

LOAD-UNLOAD
PREPARATION_TIME     TIME_PER_PALLET     BETWEEN_CONSECUTIVE_DOCKS_TIME
       5                    1                         1

