REQUESTS
NUMBER
  25

VEHICLES
NUMBER    CAPACITY
   7         50

REQUEST     SUPPLIER                  CUSTOMER
   ID       coord_X      coord_Y      coord_X      coord_Y      demand
    0           100          100            -            -          CD
    1             8           89          116           52          10
    2            97            9          173           42          10
    3            39          112          149           78           6
    4            54           37          172           66          18
    5            64          156          151          179          16
    6            19           51          135          110          13
    7            32           23          115           75           9
    8            60          184          151          132          19
    9            18           35          159          187           8
   10            45          142          179            5          11
   11            67          138          122           13          14
   12            78           72          181           70          16
   13            85          193          114           72          12
   14            39          151          189           83          19
   15            45           95          112          174          16
   16            12          113          113          151          17
   17            62           15          105           26          14
   18            40           95          176          132          14
   19             7          108          188           70          13
   20            41           73          184          110          12
   21            11          118          119          113          18
   22            22           61          108          141           9
   23            89           39          195          132           1
   24            84          180          111           98          17
   25            77          119          114          122           3

LOAD-UNLOAD
PREPARATION_TIME     TIME_PER_PALLET     BETWEEN_CONSECUTIVE_DOCKS_TIME
       5                    1                         1

