REQUESTS
NUMBER
  27

VEHICLES
NUMBER    CAPACITY
   5         50

REQUEST     SUPPLIER                  CUSTOMER
   ID       coord_X      coord_Y      coord_X      coord_Y      demand
    0           100          100            -            -          CD
    1            18           59          172          186           2
    2            31           79          144           59          16
    3            85           85          171           36           7
    4            46            5          107          133           8
    5            37          146          138           72           5
    6            41           43          149          176          15
    7            63          192          122           38           4
    8            70           37          176          134           2
    9            65           77          103           77           9
   10            63          151          108          148           2
   11            89          153          175           60           4
   12            11          118          119          113          17
   13            42          148          110          110           1
   14            84          180          111           98          16
   15            35            9          139          158           6
   16            26          197          179           95          17
   17            60          184          151          132           5
   18             9          122          168           58          12
   19            12          131          130          149          14
   20            80          167          109           85          13
   21            12          113          113          151          18
   22             1          149          111          189          11
   23            71          131          172          161           1
   24            92          178          147          193          16
   25            83          180          159          105           8
   26            71          145          129          176           2
   27            49           71          159          196           9

LOAD-UNLOAD
PREPARATION_TIME     TIME_PER_PALLET     BETWEEN_CONSECUTIVE_DOCKS_TIME
       5                    1                         1

