REQUESTS
NUMBER
 150

VEHICLES
NUMBER    CAPACITY
  34         50

REQUEST     SUPPLIER                  CUSTOMER
   ID       coord_X      coord_Y      coord_X      coord_Y      demand
    0           100          100            -            -          CD
    1             7          119          113          158          14
    2            11          118          119          113          20
    3            75          173          152           68          11
    4            47          118          108          187           3
    5            16          141          182           89          18
    6            56           19          110          184          14
    7            48           94          180           66          18
    8            42          174          136           12           9
    9            80          167          109           85          11
   10            19           38          168          146          17
   11             9          122          168           58          17
   12            99           45          165          181          13
   13            26           45          165          156          20
   14            28           77          145           19          16
   15            88          152          174          194          15
   16            67           70          141          146          14
   17            55           51          130           55          16
   18            27           97          200          162          14
   19            81          183          145           71           2
   20            63          192          122           38          17
   21            53           79          100           53          19
   22            97          129          118          117           7
   23            66           98          135           45           1
   24            51          162          149          103          15
   25            69          133          161          158          15
   26            41           73          184          110          14
   27            74           55          138           69           3
   28            37          177          113           14           8
   29            86          150          134          157           8
   30            42           72          112           78          11
   31            23          168          137           41          17
   32            90          174          115           50          14
   33            86          110          154           29           9
   34            62          138          121           50           7
   35            15          197          126          100          17
   36            10           60          131           92          11
   37            68           40          157          196          13
   38             5          162          172           55          16
   39            25          165          191          124           8
   40            46            5          107          133           1
   41            12          113          113          151          16
   42            18           59          172          186          19
   43            23           74          148          196           7
   44            88          143          151           66          12
   45            40          130          118          139          20
   46            76           93          137           10           4
   47            40           95          176          132           8
   48            68          115          100          144           3
   49            67          138          122           13           7
   50            46          131          161            3           1
   51            86           69          104            5          17
   52            64          156          151          179          10
   53            82           48          178          127          10
   54            60           71          123           90           2
   55            51          112          137          158           7
   56            74           67          106           41           5
   57            80          190          114          183           3
   58            50          135          109           45          14
   59            42          165          146          166          14
   60            23          176          114          112           1
   61            77          119          114          122           3
   62            39          151          189           83          18
   63            53          180          146            3          19
   64            12          131          130          149           6
   65            97            9          173           42          20
   66            63           44          171           69          20
   67            28          127          199          123          18
   68            46           22          135          171          16
   69            42          144          181          156           1
   70            67          127          154           59           6
   71            45          142          179            5          18
   72            84          188          124          191          19
   73            40          115          131          136           7
   74            63          149          197            7          11
   75            63          151          108          148          15
   76            71          114          164           37           9
   77             8            8          141          132          19
   78             5          130          181           39           3
   79            29          121          139           97          20
   80            89          176          113          100           4
   81            62           38          152          190          10
   82            68          191          104           88           4
   83            28           15          143          103          10
   84            63          116          172          179          17
   85            59          139          122           58          16
   86            24          131          184          140          16
   87            98           89          125           78           5
   88            95           50          152          122          19
   89            98          193          125          180           1
   90            74          163          158           81          14
   91            20          113          198           16          18
   92            59           83          127           39          11
   93            84           81          121           46           8
   94            64          123          110            8          20
   95            89          153          175           60          18
   96             1          149          111          189          10
   97            57          157          144           92          14
   98            38          183          109           48          20
   99            45           55          188          194           1
  100             5          122          162          162           5
  101            94          119          118           45          13
  102            90            4          186            8           5
  103            98           77          136          111          15
  104            25           48          112            6           7
  105            55          100          155           17           5
  106            78          136          137           59          13
  107            32          166          168          119           3
  108            87           30          127           60          11
  109            65           77          103           77           6
  110            41           16          142           27          14
  111            39          112          149           78          20
  112            30          183          155          107           5
  113            85           85          171           36          12
  114            69          150          138           61           1
  115            60          184          151          132          14
  116            45           95          112          174          15
  117            78           72          181           70           3
  118            71          131          172          161          12
  119            73           81          191          138          18
  120            94           31          148          157          13
  121            88           15          143          116          19
  122            62           15          105           26          14
  123            10           20          198           97          15
  124            66          196          178           88           3
  125            58           19          186           65           4
  126            37          146          138           72          10
  127             6          120          182            9          18
  128             8           89          116           52           4
  129            36          104          123           59          13
  130            78          118          125           34          14
  131            89           39          195          132          17
  132            32           47          197           29          18
  133            46           40          184          101          14
  134            17           32          104          142          18
  135            28          187          142           60           8
  136            92          178          147          193          20
  137            65           42          151          180          12
  138            76          102          107           96          14
  139            31           63          177          134          13
  140            19           51          135          110           3
  141            75          134          127          143           4
  142            84          180          111           98           4
  143            41          186          116            4          12
  144            12           15          124          165          11
  145            41           43          149          176          17
  146             6          193          126          199           2
  147            30           67          154          184           2
  148            38          101          158           20           2
  149            32          190          196          126           3
  150            70           28          114          153           7

LOAD-UNLOAD
PREPARATION_TIME     TIME_PER_PALLET     BETWEEN_CONSECUTIVE_DOCKS_TIME
       5                    1                         1

