REQUESTS
NUMBER
 100

VEHICLES
NUMBER    CAPACITY
  21         50

REQUEST     SUPPLIER                  CUSTOMER
   ID       coord_X      coord_Y      coord_X      coord_Y      demand
    0           100          100            -            -          CD
    1            18           59          172          186           6
    2            34          145          120           39           3
    3            10           60          131           92           5
    4            76          102          107           96           6
    5            42           72          112           78           7
    6            83          180          159          105          16
    7            32          190          196          126           8
    8            83           81          116          118           3
    9            80          167          109           85          13
   10            78          169          155           22          10
   11            63          151          108          148           6
   12            94          119          118           45          19
   13            74          163          158           81           3
   14            44           10          193           12           7
   15            35          160          179          151           2
   16            67          138          122           13          17
   17            74           55          138           69           2
   18            46          131          161            3           4
   19             1           54          153           19          14
   20            66          196          178           88           4
   21            23           74          148          196           5
   22            66            3          158          132           4
   23            81          183          145           71          10
   24             3          101          193          127          16
   25            97          192          143          179          16
   26            30           67          154          184          12
   27            87           30          127           60           3
   28            32           47          197           29           9
   29            92          178          147          193          13
   30            86          150          134          157           7
   31            32           23          115           75          15
   32            38          101          158           20          10
   33            15          197          126          100          16
   34            56           90          150           26           2
   35            28          127          199          123          10
   36             7          108          188           70           3
   37            46           22          135          171           8
   38            12           15          124          165          10
   39            75          170          154            7           8
   40            42          144          181          156          12
   41            56          148          125           53           1
   42            60           71          123           90          13
   43            60          184          151          132          11
   44            69          133          161          158          16
   45            64          156          151          179           6
   46            39          186          182          110          19
   47            28          160          156           93           1
   48            85          193          114           72           6
   49            59           24          103           25           7
   50             5          130          181           39          12
   51            28          187          142           60          16
   52            95           50          152          122           2
   53            56           19          110          184          18
   54            30          183          155          107           5
   55            99           45          165          181          14
   56            24          131          184          140          18
   57            84           81          121           46           7
   58            25           48          112            6          17
   59            41          186          116            4          16
   60            20          113          198           16          12
   61            29          121          139           97          19
   62            88          143          151           66           3
   63             6          120          182            9          16
   64            42          174          136           12          14
   65            50          135          109           45          10
   66            28           15          143          103          20
   67            83          112          101           29          12
   68            63          192          122           38           3
   69            68           40          157          196           9
   70            71          114          164           37          16
   71            63          141          101          127          14
   72            78          136          137           59          18
   73            88           15          143          116          11
   74            48           94          180           66           3
   75            24          197          159          129          12
   76            85           85          171           36           6
   77            13          139          138           31           6
   78            25          165          191          124          11
   79            31           79          144           59          20
   80            68          191          104           88           3
   81            90          174          115           50           5
   82            89           39          195          132          20
   83            26           45          165          156           4
   84            89          176          113          100          17
   85            35            9          139          158          10
   86            78          118          125           34           7
   87            46            5          107          133          15
   88            26           41          136           90           4
   89            97            9          173           42          10
   90            32          166          168          119          13
   91            26          197          179           95          11
   92             5          122          162          162          16
   93            78           72          181           70          14
   94            20           72          148           38          20
   95            98           77          136          111          11
   96            19           38          168          146           2
   97            23          123          183          170          12
   98            62           38          152          190          18
   99            48          106          112           42          19
  100            49           99          176           58           5

LOAD-UNLOAD
PREPARATION_TIME     TIME_PER_PALLET     BETWEEN_CONSECUTIVE_DOCKS_TIME
       5                    1                         1

