REQUESTS
NUMBER
  30

VEHICLES
NUMBER    CAPACITY
   7         50

REQUEST     SUPPLIER                  CUSTOMER
   ID       coord_X      coord_Y      coord_X      coord_Y      demand
    0           100          100            -            -          CD
    1            78          136          137           59          13
    2            69          133          161          158          15
    3             5          162          172           55          16
    4            25          165          191          124           8
    5            83          112          101           29          16
    6            32           47          197           29          18
    7            51          112          137          158           7
    8            49           71          159          196          17
    9            62          138          121           50           7
   10             8           89          116           52           4
   11            45           95          112          174          15
   12            86          150          134          157           8
   13            69           64          174          185          20
   14             7          119          113          158          14
   15            18           59          172          186          19
   16            89           39          195          132          17
   17            20           59          178           61           1
   18            25           48          112            6           7
   19            63          151          108          148          15
   20            77          119          114          122           3
   21            45          142          179            5          18
   22            62           15          105           26          14
   23            31           63          177          134          13
   24            41           73          184          110          14
   25            23           74          148          196           7
   26            36          104          123           59          13
   27            97          192          143          179           5
   28            56           19          110          184          14
   29            46            5          107          133           1
   30            54           37          172           66           8

LOAD-UNLOAD
PREPARATION_TIME     TIME_PER_PALLET     BETWEEN_CONSECUTIVE_DOCKS_TIME
       5                    1                         1

