REQUESTS
NUMBER
  50

VEHICLES
NUMBER    CAPACITY
  12         50

REQUEST     SUPPLIER                  CUSTOMER
   ID       coord_X      coord_Y      coord_X      coord_Y      demand
    0           100          100            -            -          CD
    1            84          180          111           98           4
    2            53           79          100           53          19
    3            45           95          112          174          15
    4            70          130          104          176           8
    5            25           48          112            6           7
    6            70           28          114          153           7
    7            45          142          179            5          18
    8             9          122          168           58          17
    9            68          115          100          144           3
   10             1          149          111          189          10
   11            32           23          115           75          10
   12            30           67          154          184           2
   13            10           20          198           97          15
   14            83           81          116          118          12
   15            39          186          182          110           8
   16            81          183          145           71           2
   17            64          123          110            8          20
   18            50           31          157          142          16
   19            89          153          175           60          18
   20            64          156          151          179          10
   21            99           45          165          181          13
   22            59          139          122           58          16
   23            67          127          154           59           6
   24            88           15          143          116          19
   25            89          176          113          100           4
   26            19           38          168          146          17
   27            23          123          183          170          11
   28            55           51          130           55          16
   29            23          168          137           41          17
   30            80          190          114          183           3
   31            97            9          173           42          20
   32            60           71          123           90           2
   33            35            9          139          158          10
   34             6          120          182            9          18
   35            55          100          155           17           5
   36            49           71          159          196          17
   37            20           72          148           38          15
   38            47          118          108          187           3
   39            27           97          200          162          14
   40            50          135          109           45          14
   41            63          116          172          179          17
   42             5          162          172           55          16
   43            19           51          135          110           3
   44            59           24          103           25          13
   45            18           59          172          186          19
   46            46           22          135          171          16
   47            88          152          174          194          15
   48            83          180          159          105           7
   49            68           40          157          196          13
   50            76           93          137           10           4

LOAD-UNLOAD
PREPARATION_TIME     TIME_PER_PALLET     BETWEEN_CONSECUTIVE_DOCKS_TIME
       5                    1                         1

