REQUESTS
NUMBER
 150

VEHICLES
NUMBER    CAPACITY
  32         50

REQUEST     SUPPLIER                  CUSTOMER
   ID       coord_X      coord_Y      coord_X      coord_Y      demand
    0           100          100            -            -          CD
    1            51          112          137          158           7
    2            12           15          124          165          11
    3            39          186          182          110           8
    4            76          102          107           96          14
    5            48           94          180           66          18
    6            63          151          108          148          15
    7            80          167          109           85          11
    8            89          176          113          100           4
    9            37          177          113           14           8
   10            31           63          177          134          13
   11            86          150          134          157           8
   12            46          131          161            3           1
   13            63          141          101          127           5
   14            65           77          103           77           6
   15            90            4          186            8           5
   16            48          106          112           42           2
   17            26           41          136           90          16
   18            19           38          168          146          17
   19            18           35          159          187          20
   20            56           90          150           26           1
   21            67          138          122           13           7
   22            68          156          186          149          11
   23            88          143          151           66          12
   24            60           71          123           90           2
   25            30          183          155          107           5
   26            66          196          178           88           3
   27            41           43          149          176          17
   28            84           81          121           46           8
   29            28          187          142           60           8
   30            39          112          149           78          20
   31            23           74          148          196           7
   32            26          197          179           95          11
   33            31           79          144           59           8
   34            94          119          118           45          13
   35             7          108          188           70           6
   36            98          193          125          180           1
   37            23          168          137           41          17
   38            89           39          195          132          17
   39             7          119          113          158          14
   40            22           61          108          141           4
   41            64          123          110            8          20
   42            86           69          104            5          17
   43            71          131          172          161          12
   44             8           89          116           52           4
   45            23          123          183          170          11
   46             3          101          193          127          11
   47            23          176          114          112           1
   48            32          190          196          126           3
   49            18           59          172          186          19
   50            87           30          127           60          11
   51            77          119          114          122           3
   52            32           47          197           29          18
   53            44           10          193           12          12
   54            66           98          135           45           1
   55            83           81          116          118          12
   56            12          131          130          149           6
   57             5          162          172           55          16
   58            28           15          143          103          10
   59            75          134          127          143           4
   60             6          193          126          199           2
   61            67           70          141          146          14
   62            53          180          146            3          19
   63            70          130          104          176           8
   64            92          178          147          193          20
   65            84          180          111           98           4
   66            45           95          112          174          15
   67            40          130          118          139          20
   68            56           19          110          184          14
   69            46           40          184          101          14
   70            83          112          101           29          16
   71            10           60          131           92          11
   72            55           87          125           49          18
   73            25           48          112            6           7
   74            42          144          181          156           1
   75            64          156          151          179          10
   76            62          152          113          105          14
   77            62          138          121           50           7
   78            85           85          171           36          12
   79            28           77          145           19          16
   80            41           16          142           27          14
   81            81          183          145           71           2
   82             1           54          153           19          14
   83            46            5          107          133           1
   84            82           48          178          127          10
   85            84          188          124          191          19
   86            40          115          131          136           7
   87            32           23          115           75          10
   88            74           55          138           69           3
   89            74          163          158           81          14
   90            12          113          113          151          16
   91            46           22          135          171          16
   92            66            3          158          132           7
   93            11          118          119          113          20
   94            38          183          109           48          20
   95            36          104          123           59          13
   96            97          192          143          179           5
   97            62           15          105           26          14
   98            68          115          100          144           3
   99            45           55          188          194           1
  100            19           51          135          110           3
  101            25          165          191          124           8
  102            63          149          197            7          11
  103            50          135          109           45          14
  104            15          197          126          100          17
  105            24          131          184          140          16
  106            62           38          152          190          10
  107            71          145          129          176           9
  108            13          139          138           31           9
  109            90          174          115           50          14
  110            97            9          173           42          20
  111            41          186          116            4          12
  112            38          101          158           20           2
  113            65           42          151          180          12
  114            47          118          108          187           3
  115            88          152          174          194          15
  116             1          149          111          189          10
  117            24          197          159          129           9
  118            78           72          181           70           3
  119            63          192          122           38          17
  120            78          169          155           22          12
  121            80          190          114          183           3
  122            85          164          111          129          15
  123             5          122          162          162           5
  124            60          153          121           48           4
  125            42          174          136           12           9
  126            69          150          138           61           1
  127            59           83          127           39          11
  128            63           44          171           69          20
  129            55           51          130           55          16
  130            98           89          125           78           5
  131            89          153          175           60          18
  132            28          160          156           93           8
  133            78          136          137           59          13
  134            76           93          137           10           4
  135            37          146          138           72          10
  136            58           19          186           65           4
  137            57          157          144           92          14
  138            70           37          176          134          11
  139            34          145          120           39          13
  140            74           67          106           41           5
  141            16          141          182           89          18
  142            35          160          179          151           1
  143            78          118          125           34          14
  144             9          122          168           58          17
  145            29          121          139           97          20
  146            45          142          179            5          18
  147            75          170          154            7           8
  148            63          116          172          179          17
  149            69          133          161          158          15
  150            86          110          154           29           9

LOAD-UNLOAD
PREPARATION_TIME     TIME_PER_PALLET     BETWEEN_CONSECUTIVE_DOCKS_TIME
       5                    1                         1

