REQUESTS
NUMBER
  75

VEHICLES
NUMBER    CAPACITY
  17         50

REQUEST     SUPPLIER                  CUSTOMER
   ID       coord_X      coord_Y      coord_X      coord_Y      demand
    0           100          100            -            -          CD
    1             5          130          181           39          12
    2             9          122          168           58           4
    3            20           72          148           38          20
    4            78           72          181           70          14
    5            69          150          138           61           2
    6            25           48          112            6          17
    7            76           93          137           10          18
    8            32           23          115           75          15
    9            71          145          129          176           9
   10            65           42          151          180          15
   11            82           48          178          127           3
   12            17          166          109          197          11
   13            10           20          198           97          17
   14            90          174          115           50           5
   15            51          112          137          158          17
   16            90            4          186            8           1
   17            27           97          200          162           9
   18            46           40          184          101           1
   19            78          136          137           59          18
   20            83          112          101           29          12
   21            85          164          111          129          19
   22            74          163          158           81           3
   23            84          188          124          191          17
   24            13          139          138           31           6
   25            98           89          125           78          20
   26            39          186          182          110          19
   27            86           69          104            5          13
   28            98          193          125          180          13
   29            67           70          141          146           9
   30            62          152          113          105           7
   31            62           38          152          190          18
   32            35          160          179          151           2
   33            48           94          180           66           3
   34            83          180          159          105          16
   35            89          153          175           60           7
   36            99           45          165          181          14
   37            18           59          172          186           6
   38            30          183          155          107           5
   39             6          193          126          199           8
   40            51          162          149          103           1
   41            30           67          154          184          12
   42            40          115          131          136          20
   43            53          175          173          147          20
   44            32          166          168          119          13
   45            64          156          151          179           6
   46            22           61          108          141           2
   47            84           81          121           46           7
   48            75          170          154            7           8
   49            68          156          186          149          13
   50            53           79          100           53          10
   51            40           95          176          132          20
   52            41           43          149          176           1
   53            59           83          127           39           9
   54            63          149          197            7           8
   55            57          157          144           92          14
   56            63          141          101          127          14
   57            78          169          155           22          10
   58            66            3          158          132           4
   59            28          187          142           60          16
   60            23          168          137           41           1
   61            88          152          174          194           6
   62             8           89          116           52           1
   63            32          190          196          126           8
   64            59           24          103           25           7
   65            71          131          172          161           9
   66            41           16          142           27          15
   67            97            9          173           42          10
   68            50          135          109           45          10
   69            75          134          127          143          18
   70            47          118          108          187          15
   71            80          167          109           85          13
   72            89           39          195          132          20
   73            97          192          143          179          16
   74            23          176          114          112          11
   75            94          119          118           45          19

LOAD-UNLOAD
PREPARATION_TIME     TIME_PER_PALLET     BETWEEN_CONSECUTIVE_DOCKS_TIME
       5                    1                         1

