REQUESTS
NUMBER
  50

VEHICLES
NUMBER    CAPACITY
  11         50

REQUEST     SUPPLIER                  CUSTOMER
   ID       coord_X      coord_Y      coord_X      coord_Y      demand
    0           100          100            -            -          CD
    1            65           77          103           77          18
    2            97            9          173           42          10
    3            63          192          122           38           1
    4            77          119          114          122           3
    5            70           28          114          153           4
    6             1          149          111          189           8
    7            53           79          100           53          19
    8            85          164          111          129          17
    9            40          115          131          136          12
   10            49           99          176           58           4
   11            69          133          161          158           1
   12            55           87          125           49           7
   13            68          191          104           88          20
   14            83           81          116          118          17
   15            69           64          174          185           5
   16            29          121          139           97          17
   17            60          153          121           48          18
   18            88           15          143          116          17
   19            89          176          113          100          11
   20            30          183          155          107          19
   21            53          180          146            3           3
   22            94          119          118           45          11
   23            60           71          123           90           9
   24            58           19          186           65           2
   25            46            5          107          133           3
   26            41           16          142           27          18
   27            23          176          114          112           8
   28            80          190          114          183          20
   29            54           37          172           66          18
   30            87           30          127           60           6
   31            31           63          177          134          20
   32            28           15          143          103          13
   33            45           55          188          194           6
   34            35          160          179          151           7
   35            63          149          197            7           8
   36            32           47          197           29           8
   37             8           89          116           52          10
   38            24          131          184          140           6
   39            68           40          157          196          15
   40             7          108          188           70          13
   41            51          112          137          158          15
   42            19           51          135          110          13
   43            31           79          144           59          15
   44            71          131          172          161           1
   45            26           45          165          156          14
   46            56           19          110          184           6
   47            73           81          191          138          13
   48            95           50          152          122           6
   49            36          104          123           59           5
   50            70          130          104          176          11

LOAD-UNLOAD
PREPARATION_TIME     TIME_PER_PALLET     BETWEEN_CONSECUTIVE_DOCKS_TIME
       5                    1                         1

