REQUESTS
NUMBER
  75

VEHICLES
NUMBER    CAPACITY
  16         50

REQUEST     SUPPLIER                  CUSTOMER
   ID       coord_X      coord_Y      coord_X      coord_Y      demand
    0           100          100            -            -          CD
    1            68          191          104           88           4
    2            84          180          111           98           4
    3            85          193          114           72           4
    4            59           24          103           25          13
    5            78          118          125           34          14
    6             1           54          153           19          14
    7            75          173          152           68          11
    8            59          139          122           58          16
    9            85           85          171           36          12
   10            76          102          107           96          14
   11            57          118          103           97          11
   12            98           89          125           78           5
   13            17          166          109          197          13
   14            10           60          131           92          11
   15            74           67          106           41           5
   16            27           97          200          162          14
   17            76           93          137           10           4
   18            53          175          173          147          17
   19            65           42          151          180          12
   20            99           45          165          181          13
   21            88           15          143          116          19
   22            32           23          115           75          10
   23            64          156          151          179          10
   24            32          190          196          126           3
   25            67          127          154           59           6
   26            45           95          112          174          15
   27            49           71          159          196          17
   28            63          149          197            7          11
   29            66           98          135           45           1
   30            55           87          125           49          18
   31            46          131          161            3           1
   32            63          192          122           38          17
   33            77          119          114          122           3
   34            84           81          121           46           8
   35            45           55          188          194           1
   36            38          101          158           20           2
   37            24          131          184          140          16
   38            83           81          116          118          12
   39            49           99          176           58          14
   40            41           73          184          110          14
   41            62           15          105           26          14
   42            66          196          178           88           3
   43            57          157          144           92          14
   44            22           61          108          141           4
   45            78          136          137           59          13
   46            36          104          123           59          13
   47            25          165          191          124           8
   48            42          174          136           12           9
   49            73           81          191          138          18
   50            30          183          155          107           5
   51            75          170          154            7           8
   52            56           90          150           26           1
   53            97          192          143          179           5
   54            34          145          120           39          13
   55            42          144          181          156           1
   56            80          167          109           85          11
   57            60          153          121           48           4
   58            30           67          154          184           2
   59            26           41          136           90          16
   60            81          183          145           71           2
   61            71          114          164           37           9
   62            74          163          158           81          14
   63             1          149          111          189          10
   64            38          183          109           48          20
   65            68          115          100          144           3
   66            71          131          172          161          12
   67            86          110          154           29           9
   68            97            9          173           42          20
   69            40          115          131          136           7
   70            50           31          157          142          16
   71            37          146          138           72          10
   72            13          139          138           31           9
   73            46           40          184          101          14
   74            26           45          165          156          20
   75            62          152          113          105          14

LOAD-UNLOAD
PREPARATION_TIME     TIME_PER_PALLET     BETWEEN_CONSECUTIVE_DOCKS_TIME
       5                    1                         1

