REQUESTS
NUMBER
  30

VEHICLES
NUMBER    CAPACITY
   7         50

REQUEST     SUPPLIER                  CUSTOMER
   ID       coord_X      coord_Y      coord_X      coord_Y      demand
    0           100          100            -            -          CD
    1            66            3          158          132           7
    2            90            4          186            8           5
    3            18           35          159          187          20
    4            62           38          152          190          10
    5            76          102          107           96          14
    6            69           64          174          185          20
    7            56           19          110          184          14
    8            56          148          125           53           3
    9            86          110          154           29           9
   10            85          164          111          129          15
   11            39          151          189           83          18
   12            29          121          139           97          20
   13            16          141          182           89          18
   14            44           10          193           12          12
   15            87           30          127           60          11
   16            63           44          171           69          20
   17            68          115          100          144           3
   18            98          193          125          180           1
   19            55           87          125           49          18
   20            18           59          172          186          19
   21            32           23          115           75          10
   22            24          197          159          129           9
   23            23          176          114          112           1
   24             1           54          153           19          14
   25            60          153          121           48           4
   26            68          191          104           88           4
   27            88          143          151           66          12
   28            28           77          145           19          16
   29            40           95          176          132           8
   30            85          193          114           72           4

LOAD-UNLOAD
PREPARATION_TIME     TIME_PER_PALLET     BETWEEN_CONSECUTIVE_DOCKS_TIME
       5                    1                         1

