REQUESTS
NUMBER
  40

VEHICLES
NUMBER    CAPACITY
   9         50

REQUEST     SUPPLIER                  CUSTOMER
   ID       coord_X      coord_Y      coord_X      coord_Y      demand
    0           100          100            -            -          CD
    1            37          177          113           14           8
    2            40           95          176          132           8
    3            84           81          121           46           8
    4            46           22          135          171          16
    5            98           89          125           78           5
    6            26           45          165          156          20
    7            55           51          130           55          16
    8            59          139          122           58          16
    9            28          160          156           93           8
   10            10           20          198           97          15
   11             3          101          193          127          11
   12            49           99          176           58          14
   13            78          136          137           59          13
   14            32           23          115           75          10
   15            50          135          109           45          14
   16            15          197          126          100          17
   17            31           79          144           59           8
   18            47          118          108          187           3
   19            78          169          155           22          12
   20            66            3          158          132           7
   21            35          160          179          151           1
   22            19           51          135          110           3
   23            12          113          113          151          16
   24            71          114          164           37           9
   25            78          118          125           34          14
   26            25          165          191          124           8
   27            35            9          139          158          10
   28            36          104          123           59          13
   29            90            4          186            8           5
   30             5          122          162          162           5
   31             5          162          172           55          16
   32            67          138          122           13           7
   33            45          142          179            5          18
   34            86           69          104            5          17
   35            89          176          113          100           4
   36            17           32          104          142          18
   37            62           38          152          190          10
   38            68          191          104           88           4
   39            62           15          105           26          14
   40            45           95          112          174          15

LOAD-UNLOAD
PREPARATION_TIME     TIME_PER_PALLET     BETWEEN_CONSECUTIVE_DOCKS_TIME
       5                    1                         1

