REQUESTS
NUMBER
  27

VEHICLES
NUMBER    CAPACITY
   7         50

REQUEST     SUPPLIER                  CUSTOMER
   ID       coord_X      coord_Y      coord_X      coord_Y      demand
    0           100          100            -            -          CD
    1            83           81          116          118          17
    2            68           40          157          196          15
    3            71          145          129          176           3
    4            86          150          134          157          12
    5            69          133          161          158           1
    6            89          153          175           60          17
    7            56          148          125           53          19
    8            30          183          155          107          19
    9            23           74          148          196          20
   10            39          112          149           78           6
   11            78          169          155           22          20
   12             5          162          172           55          15
   13            26           45          165          156          14
   14            19           38          168          146          14
   15            30           67          154          184           8
   16            98          193          125          180          14
   17            66            3          158          132          14
   18            59           83          127           39          19
   19             7          119          113          158           2
   20            78          136          137           59          15
   21            62          152          113          105          10
   22            82           48          178          127           6
   23            45           95          112          174          16
   24            75          170          154            7          12
   25            88           15          143          116          17
   26            27           97          200          162          11
   27             3          101          193          127           4

LOAD-UNLOAD
PREPARATION_TIME     TIME_PER_PALLET     BETWEEN_CONSECUTIVE_DOCKS_TIME
       5                    1                         1

