REQUESTS
NUMBER
  75

VEHICLES
NUMBER    CAPACITY
  15         50

REQUEST     SUPPLIER                  CUSTOMER
   ID       coord_X      coord_Y      coord_X      coord_Y      demand
    0           100          100            -            -          CD
    1            86           69          104            5           1
    2            49           71          159          196           9
    3            32          190          196          126          20
    4            34          145          120           39          18
    5            28           15          143          103          15
    6            63           44          171           69          15
    7            51          112          137          158          18
    8            63          151          108          148           2
    9            35          160          179          151           1
   10            28          160          156           93           8
   11            71          114          164           37          12
   12            57          157          144           92          19
   13            56           90          150           26          20
   14            70          130          104          176          18
   15            20           72          148           38          17
   16            45           95          112          174           2
   17            23          176          114          112          12
   18            64          156          151          179           2
   19            17           32          104          142           8
   20            60          184          151          132           5
   21            84          180          111           98          16
   22            25          165          191          124          19
   23            62           15          105           26          20
   24            68          191          104           88           7
   25            41           73          184          110           1
   26            89          153          175           60           4
   27            26           41          136           90          20
   28             5          162          172           55          14
   29            99           45          165          181          11
   30            28          127          199          123           5
   31            26           45          165          156          16
   32            18           35          159          187           8
   33            89           39          195          132           3
   34             7          119          113          158          16
   35            90          174          115           50          12
   36            37          146          138           72           5
   37            68          156          186          149           1
   38            38          101          158           20          17
   39            40           95          176          132          18
   40            80          167          109           85          13
   41             9          122          168           58          12
   42            32           23          115           75           8
   43            83          112          101           29          17
   44            12          131          130          149          14
   45            51          162          149          103          11
   46            74           55          138           69          13
   47            42          174          136           12           4
   48            16          141          182           89          17
   49            40          115          131          136          10
   50             8           89          116           52           1
   51            67          127          154           59           1
   52            83          180          159          105           8
   53            58           19          186           65           4
   54            67          138          122           13           5
   55            55           87          125           49           7
   56            13          139          138           31          12
   57            95           50          152          122           9
   58            46            5          107          133           8
   59            45           55          188          194          15
   60            76          102          107           96           6
   61            71          145          129          176           2
   62            97            9          173           42           7
   63            98           89          125           78           2
   64            66          196          178           88           5
   65            55          100          155           17          18
   66            54           37          172           66           1
   67             5          122          162          162           8
   68            56           19          110          184           7
   69            75          173          152           68           5
   70            15          197          126          100           7
   71            30           67          154          184           7
   72            28          187          142           60          10
   73            70           37          176          134           2
   74            17          166          109          197          19
   75            98          193          125          180           1

LOAD-UNLOAD
PREPARATION_TIME     TIME_PER_PALLET     BETWEEN_CONSECUTIVE_DOCKS_TIME
       5                    1                         1

