REQUESTS
NUMBER
  50

VEHICLES
NUMBER    CAPACITY
  13         50

REQUEST     SUPPLIER                  CUSTOMER
   ID       coord_X      coord_Y      coord_X      coord_Y      demand
    0           100          100            -            -          CD
    1            74           55          138           69           3
    2            45          142          179            5          18
    3            16          141          182           89          18
    4            11          118          119          113          20
    5             7          119          113          158          14
    6            26           45          165          156          20
    7            78          118          125           34          14
    8            28          127          199          123          18
    9            73           81          191          138          18
   10            75          170          154            7           8
   11            49           99          176           58          14
   12            40          130          118          139          20
   13            53          180          146            3          19
   14            46           40          184          101          14
   15            68          191          104           88           4
   16             7          108          188           70           6
   17            31           63          177          134          13
   18            83           81          116          118          12
   19            98          193          125          180           1
   20            28          160          156           93           8
   21            89           39          195          132          17
   22            85          164          111          129          15
   23            63          116          172          179          17
   24            53           79          100           53          19
   25            60          184          151          132          14
   26             3          101          193          127          11
   27            40          115          131          136           7
   28            26          197          179           95          11
   29            37          177          113           14           8
   30            46           22          135          171          16
   31            39          151          189           83          18
   32            56           90          150           26           1
   33            85          193          114           72           4
   34            66            3          158          132           7
   35            78           72          181           70           3
   36            45           55          188          194           1
   37            35            9          139          158          10
   38            63          149          197            7          11
   39            67          127          154           59           6
   40            95           50          152          122          19
   41            51          162          149          103          15
   42            88          152          174          194          15
   43            25          165          191          124           8
   44            59           83          127           39          11
   45            23          176          114          112           1
   46            28          187          142           60           8
   47            17           32          104          142          18
   48            41           43          149          176          17
   49            69           64          174          185          20
   50            57          157          144           92          14

LOAD-UNLOAD
PREPARATION_TIME     TIME_PER_PALLET     BETWEEN_CONSECUTIVE_DOCKS_TIME
       5                    1                         1

