REQUESTS
NUMBER
  40

VEHICLES
NUMBER    CAPACITY
  10         50

REQUEST     SUPPLIER                  CUSTOMER
   ID       coord_X      coord_Y      coord_X      coord_Y      demand
    0           100          100            -            -          CD
    1            84          180          111           98          16
    2             7          119          113          158          16
    3            85          193          114           72           2
    4            62           38          152          190          11
    5            45           55          188          194          15
    6            41           73          184          110           1
    7            42          148          110          110           1
    8            59          139          122           58          17
    9            64          123          110            8          12
   10            36          104          123           59          14
   11            23          168          137           41           3
   12            98           77          136          111           9
   13            62          152          113          105          20
   14            92          178          147          193          16
   15            32           47          197           29           2
   16            53          180          146            3          20
   17            41          186          116            4           6
   18            40          115          131          136          10
   19            32          190          196          126          20
   20            64          156          151          179           2
   21            73           81          191          138           4
   22            62          138          121           50          11
   23            42          165          146          166          19
   24            40           95          176          132          18
   25            68          191          104           88           7
   26            31           79          144           59          16
   27            94           31          148          157          20
   28            41           43          149          176          15
   29            84          188          124          191          11
   30             8            8          141          132          17
   31            23          176          114          112          12
   32            35            9          139          158           6
   33            68          115          100          144          18
   34            31           63          177          134           9
   35            10           20          198           97          11
   36            57          157          144           92          19
   37            97          129          118          117           8
   38            55           51          130           55          19
   39            17          166          109          197          19
   40            24          131          184          140           4

LOAD-UNLOAD
PREPARATION_TIME     TIME_PER_PALLET     BETWEEN_CONSECUTIVE_DOCKS_TIME
       5                    1                         1

